,Player,Ov,Runs,Wkts,Dots,Econ,SR,Against,Venue,Match Date
0,Mohammad Hafeez,4,8,1,14,2,24,DEC,Eden Gardens,20-Apr-08
1,Ishant Sharma,4,9,2,14,2.25,12,RCB,M. Chinnaswamy Stadium,18-Apr-08
2,Brett Lee,4,9,1,17,2.25,24,MI,IS Bindra Stadium,25-Apr-08
3,Shaun Pollock,4,9,1,17,2.25,24,CSK,Wankhede Stadium,14-May-08
4,Dominic Thornely,3,7,2,12,2.33,9,KKR,Wankhede Stadium,16-May-08
5,Sourav Ganguly,3,7,1,10,2.33,18,RCB,Eden Gardens,08-May-08
6,Sohail Tanvir,4,10,3,18,2.5,8,RCB,Sawai Mansingh Stadium,17-May-08
7,Irfan Pathan,4,10,1,17,2.5,24,RR,IS Bindra Stadium,28-May-08
8,Siddharth Trivedi,3,8,1,10,2.66,18,DEC,Sawai Mansingh Stadium,09-May-08
9,Manpreet Gony,4,11,2,13,2.75,12,RCB,Chidambaram,21-May-08
10,MF Maharoof,4,11,2,10,2.75,12,RR,Arun Jaitley Stadium,19-Apr-08
11,Shaun Pollock,4,12,3,17,3,8,KKR,Wankhede Stadium,16-May-08
12,Chaminda Vaas,3,9,2,11,3,9,KKR,Eden Gardens,20-Apr-08
13,Ishant Sharma,3,9,1,12,3,18,DEC,Eden Gardens,20-Apr-08
14,Ashok Dinda,4,12,1,15,3,24,MI,Eden Gardens,29-Apr-08
15,Yusuf Pathan,3,9,0,10,3,0,MI,Sawai Mansingh Stadium,26-May-08
16,Muttiah Muralitharan,4,12,0,14,3,0,KKR,Chidambaram,26-Apr-08
17,Glenn McGrath,4,12,0,16,3,0,RR,Sawai Mansingh Stadium,11-May-08
18,Shane Watson,2,6,0,7,3,0,RCB,Sawai Mansingh Stadium,17-May-08
19,MF Maharoof,4,13,2,11,3.25,12,RCB,M. Chinnaswamy Stadium,19-May-08
20,Shane Watson,3,10,3,12,3.33,6,DC,Wankhede Stadium,30-May-08
21,Sohail Tanvir,4,14,6,16,3.5,4,CSK,Sawai Mansingh Stadium,04-May-08
22,Sohail Tanvir,4,14,4,15,3.5,6,MI,Sawai Mansingh Stadium,26-May-08
23,Sanath Jayasuriya,4,14,3,14,3.5,8,KKR,Eden Gardens,29-Apr-08
24,Anil Kumble,4,14,3,13,3.5,8,CSK,Chidambaram,21-May-08
25,Manpreet Gony,4,14,2,16,3.5,12,PBKS,Wankhede Stadium,31-May-08
26,Ashok Dinda,2,7,1,7,3.5,12,RCB,M. Chinnaswamy Stadium,18-Apr-08
27,Dale Steyn,4,14,1,17,3.5,24,MI,M. Chinnaswamy Stadium,28-May-08
28,Shoaib Akhtar,3,11,4,12,3.66,4.5,DC,Eden Gardens,13-May-08
29,Glenn McGrath,4,15,2,16,3.75,12,RCB,M. Chinnaswamy Stadium,19-May-08
30,RP Singh,4,15,2,14,3.75,12,MI,DY Patil Stadium,27-Apr-08
31,Vikram Singh,4,15,1,10,3.75,24,RCB,IS Bindra Stadium,12-May-08
32,Jacques Kallis,4,15,0,13,3.75,0,CSK,Chidambaram,21-May-08
