,Player,Ov,Runs,Wkts,SR,Against,Venue,Match Date,Unnamed: 0
0,Laxmi Ratan Shukla,0.5,6,3,1.66,DC,Eden Gardens,13-May-08,
1,James Hopes,1,2,2,3,DC,Arun Jaitley Stadium,17-May-08,
2,Sohail Tanvir,4,14,6,4,CSK,Sawai Mansingh Stadium,04-May-08,
3,Shoaib Akhtar,3,11,4,4.5,DC,Eden Gardens,13-May-08,
4,Amit Mishra,4,17,5,4.8,DEC,Arun Jaitley Stadium,15-May-08,
5,Lakshmipathy Balaji,4,24,5,4.8,PBKS,Chidambaram,10-May-08,
6,Yo Mahesh,4,36,4,6,MI,Arun Jaitley Stadium,24-May-08,
7,Sohail Tanvir,4,14,4,6,MI,Sawai Mansingh Stadium,26-May-08,
8,Dilhara Fernando,4,18,4,6,RCB,M. Chinnaswamy Stadium,28-May-08,
9,Umar Gul,4,23,4,6,PBKS,Eden Gardens,25-May-08,
10,Makhaya Ntini,4,21,4,6,KKR,Eden Gardens,18-May-08,
11,Glenn McGrath,4,29,4,6,RCB,Arun Jaitley Stadium,30-Apr-08,
12,Albie Morkel,4,32,4,6,RCB,Chidambaram,21-May-08,
13,Shane Watson,3,10,3,6,DC,Wankhede Stadium,30-May-08,
14,Ashish Nehra,3,13,3,6,RR,DY Patil Stadium,07-May-08,
15,Yuvraj Singh,2,12,2,6,MI,Wankhede Stadium,21-May-08,
16,Ramesh Powar,2,22,2,6,DC,Arun Jaitley Stadium,17-May-08,
17,Pragyan Ojha,2,19,2,6,DC,Arun Jaitley Stadium,15-May-08,
18,Ajit Agarkar,2,19,2,6,DEC,Eden Gardens,20-Apr-08,
19,Yusuf Pathan,2,20,2,6,DEC,Rajiv Gandhi Intl. Cricket Stadium,24-Apr-08,
20,Dwayne Bravo,2.2,12,2,7,RR,DY Patil Stadium,07-May-08,
21,Rohan Raje,2.2,16,2,7,KKR,Wankhede Stadium,16-May-08,
22,Murali Kartik,3.4,17,3,7.33,DEC,Eden Gardens,20-Apr-08,
23,Piyush Chawla,4,28,3,8,DEC,Rajiv Gandhi Intl. Cricket Stadium,01-May-08,
24,Praveen Kumar,4,23,3,8,DEC,M. Chinnaswamy Stadium,03-May-08,
25,Ajit Agarkar,4,25,3,8,RCB,M. Chinnaswamy Stadium,18-Apr-08,
26,Sohail Tanvir,4,26,3,8,KKR,Eden Gardens,20-May-08,
27,Vinay Kumar,4,27,3,8,DEC,Rajiv Gandhi Intl. Cricket Stadium,25-May-08,
28,Yo Mahesh,4,33,3,8,MI,DY Patil Stadium,04-May-08,
29,Shahid Afridi,4,28,3,8,RR,Rajiv Gandhi Intl. Cricket Stadium,24-Apr-08,
30,Anil Kumble,4,14,3,8,CSK,Chidambaram,21-May-08,
31,Munaf Patel,4,17,3,8,DC,Wankhede Stadium,30-May-08,
32,Yusuf Pathan,4,22,3,8,CSK,DY Patil Stadium,01-Jun-08,
33,Dwayne Bravo,4,24,3,8,DEC,Rajiv Gandhi Intl. Cricket Stadium,18-May-08,
34,Zaheer Khan,4,38,3,8,CSK,M. Chinnaswamy Stadium,28-Apr-08,
