,Player,Runs,BF,4s,6s,Against,Venue,Match Date
0,Adam Gilchrist,109,42,9,10,MI,DY Patil Stadium,27-Apr-08
1,Sanath Jayasuriya,114,45,9,11,CSK,Wankhede Stadium,14-May-08
2,Andrew Symonds,117,47,11,7,RR,Rajiv Gandhi Intl. Cricket Stadium,24-Apr-08
3,Michael Hussey,116,50,8,9,PBKS,IS Bindra Stadium,19-Apr-08
4,Brendon McCullum,158,53,10,13,RCB,M. Chinnaswamy Stadium,18-Apr-08
5,Shaun Marsh,115,58,11,7,RR,IS Bindra Stadium,28-May-08
6,Manish Pandey,114,67,10,4,DEC,Supersport Park,21-May-09
7,Yusuf Pathan,100,37,9,8,MI,Brabourne Stadium,13-Mar-10
8,Murali Vijay,127,46,8,11,RR,Chidambaram,03-Apr-10
9,Mahela Jayawardena,110,55,14,3,KKR,Eden Gardens,04-Apr-10
10,David Warner,107,66,9,5,KKR,Arun Jaitley Stadium,29-Mar-10
11,Chris Gayle,107,46,10,9,PBKS,M. Chinnaswamy Stadium,06-May-11
12,Virender Sehwag,119,48,13,6,DEC,Rajiv Gandhi Intl. Cricket Stadium,05-May-11
13,Paul Valthaty,120,52,19,2,CSK,IS Bindra Stadium,13-Apr-11
14,Adam Gilchrist,106,53,8,9,RCB,HPCA Stadium,17-May-11
15,Chris Gayle,102,55,10,7,KKR,Eden Gardens,22-Apr-11
16,Sachin Tendulkar,100,66,12,3,KTK,Wankhede Stadium,15-Apr-11
17,Murali Vijay,113,51,15,4,DC,Chidambaram,25-May-12
18,David Warner,109,52,10,7,DEC,Rajiv Gandhi Intl. Cricket Stadium,10-May-12
19,Rohit Sharma,109,52,12,5,KKR,Eden Gardens,12-May-12
20,Chris Gayle,128,53,7,13,DC,Arun Jaitley Stadium,17-May-12
21,Ajinkya Rahane,103,58,12,5,RCB,M. Chinnaswamy Stadium,15-Apr-12
22,Kevin Pietersen,103,64,6,9,DEC,Arun Jaitley Stadium,19-Apr-12
23,Chris Gayle,175,30,13,17,PWI,M. Chinnaswamy Stadium,23-Apr-13
24,David Miller,101,38,8,7,RCB,IS Bindra Stadium,06-May-13
25,Suresh Raina,100,53,7,6,PBKS,Chidambaram,02-May-13
26,Shane Watson,101,60,6,6,CSK,Chidambaram,22-Apr-13
27,Wriddhiman Saha,115,49,10,8,KKR,M. Chinnaswamy Stadium,01-Jun-14
28,Virender Sehwag,122,50,12,8,CSK,Wankhede Stadium,30-May-14
29,Lendl Simmons,100,61,14,2,PBKS,IS Bindra Stadium,21-May-14
30,Chris Gayle,117,46,7,12,PBKS,M. Chinnaswamy Stadium,06-May-15
31,AB de Villiers,133,47,19,4,MI,Wankhede Stadium,10-May-15
32,Brendon McCullum,100,56,7,9,SRH,Chidambaram,11-Apr-15
33,Shane Watson,104,57,9,5,KKR,Brabourne Stadium,16-May-15
34,AB de Villiers,129,43,10,12,GL,M. Chinnaswamy Stadium,14-May-16
35,Virat Kohli,113,47,12,8,PBKS,M. Chinnaswamy Stadium,18-May-16
