,Player,Ov,Runs,Wkts,Maid,Dots,SR,Against,Venue,Match Date
0,Sohail Tanvir,4,10,3,0,18,8,RCB,Sawai Mansingh Stadium,17-May-08
1,Dale Steyn,4,28,2,0,18,12,CSK,Chidambaram,21-May-08
2,Brett Lee,4,9,1,0,17,24,MI,IS Bindra Stadium,25-Apr-08
3,Shaun Pollock,4,9,1,1,17,24,CSK,Wankhede Stadium,14-May-08
4,Irfan Pathan,4,10,1,0,17,24,RR,IS Bindra Stadium,28-May-08
5,Shaun Pollock,4,12,3,0,17,8,KKR,Wankhede Stadium,16-May-08
6,Dale Steyn,4,14,1,0,17,24,MI,M. Chinnaswamy Stadium,28-May-08
7,Shanthakumaran Sreesanth,4,16,2,0,17,12,RCB,M. Chinnaswamy Stadium,05-May-08
8,Shane Watson,4,19,1,0,17,24,CSK,Sawai Mansingh Stadium,04-May-08
9,Vinay Kumar,4,27,3,0,17,8,DEC,Rajiv Gandhi Intl. Cricket Stadium,25-May-08
10,Glenn McGrath,4,12,0,0,16,0,RR,Sawai Mansingh Stadium,11-May-08
11,Sohail Tanvir,4,14,6,0,16,4,CSK,Sawai Mansingh Stadium,04-May-08
12,Manpreet Gony,4,14,2,1,16,12,PBKS,Wankhede Stadium,31-May-08
13,Glenn McGrath,4,15,2,0,16,12,RCB,M. Chinnaswamy Stadium,19-May-08
14,Munaf Patel,4,17,3,0,16,8,DC,Wankhede Stadium,30-May-08
15,Dilhara Fernando,4,18,4,0,16,6,RCB,M. Chinnaswamy Stadium,28-May-08
16,Mohammad Asif,4,19,2,0,16,12,DEC,Rajiv Gandhi Intl. Cricket Stadium,22-Apr-08
17,Glenn McGrath,4,21,1,1,16,24,RR,Arun Jaitley Stadium,19-Apr-08
18,Ashok Dinda,4,12,1,0,15,24,MI,Eden Gardens,29-Apr-08
19,Sohail Tanvir,4,14,4,0,15,6,MI,Sawai Mansingh Stadium,26-May-08
20,Shaun Pollock,4,16,2,0,15,12,DC,DY Patil Stadium,04-May-08
21,Piyush Chawla,4,16,2,0,15,12,MI,IS Bindra Stadium,25-Apr-08
22,Irfan Pathan,4,18,2,0,15,12,KKR,IS Bindra Stadium,03-May-08
23,Irfan Pathan,4,19,2,1,15,12,MI,IS Bindra Stadium,25-Apr-08
24,Shane Watson,4,20,2,0,15,12,RCB,M. Chinnaswamy Stadium,26-Apr-08
25,Glenn McGrath,4,22,0,1,15,0,DEC,Rajiv Gandhi Intl. Cricket Stadium,22-Apr-08
26,Ajit Agarkar,4,25,3,0,15,8,RCB,M. Chinnaswamy Stadium,18-Apr-08
27,Praveen Kumar,4,26,1,0,15,24,CSK,Chidambaram,21-May-08
28,Mohammad Hafeez,4,8,1,0,14,24,DEC,Eden Gardens,20-Apr-08
29,Ishant Sharma,4,9,2,0,14,12,RCB,M. Chinnaswamy Stadium,18-Apr-08
30,Muttiah Muralitharan,4,12,0,0,14,0,KKR,Chidambaram,26-Apr-08
31,Sanath Jayasuriya,4,14,3,1,14,8,KKR,Eden Gardens,29-Apr-08
32,RP Singh,4,15,2,1,14,12,MI,DY Patil Stadium,27-Apr-08
33,Irfan Pathan,3.2,13,1,0,14,20,RCB,M. Chinnaswamy Stadium,05-May-08
34,Dale Steyn,4,16,0,0,14,0,PBKS,M. Chinnaswamy Stadium,05-May-08
35,Manpreet Gony,4,18,1,1,14,24,MI,Chidambaram,23-Apr-08
36,Murali Kartik,3.4,17,3,0,14,7.33,DEC,Eden Gardens,20-Apr-08
37,Scott Styris,4,19,0,0,14,0,KKR,Eden Gardens,20-Apr-08
38,Makhaya Ntini,4,21,4,0,14,6,KKR,Eden Gardens,18-May-08
39,Munaf Patel,4,22,2,1,14,12,KKR,Eden Gardens,20-May-08
40,Makhaya Ntini,4,23,2,0,14,12,PBKS,Wankhede Stadium,31-May-08
41,Shane Warne,4,23,1,1,14,24,RCB,M. Chinnaswamy Stadium,26-Apr-08
42,Zaheer Khan,4,24,1,0,14,24,RR,M. Chinnaswamy Stadium,26-Apr-08
43,Manpreet Gony,4,11,2,1,13,12,RCB,Chidambaram,21-May-08
44,Anil Kumble,4,14,3,0,13,8,CSK,Chidambaram,21-May-08
