,Player,Runs,BF,SR,4s,6s,Against,Venue,Match Date
0,Kumar Sangakkara,94,56,167.85,13,1,MI,IS Bindra Stadium,25-Apr-08
1,Matthew Hayden,81,46,176.08,12,2,MI,Chidambaram,23-Apr-08
2,Sachin Tendulkar,65,46,141.3,12,0,PBKS,Wankhede Stadium,21-May-08
3,Andrew Symonds,117,53,220.75,11,7,RR,Rajiv Gandhi Intl. Cricket Stadium,24-Apr-08
4,Shaun Marsh,115,69,166.66,11,7,RR,IS Bindra Stadium,28-May-08
5,Gautam Gambhir,80,49,163.26,11,1,CSK,Arun Jaitley Stadium,08-May-08
6,Sourav Ganguly,91,57,159.64,11,5,DEC,Rajiv Gandhi Intl. Cricket Stadium,11-May-08
7,Gautam Gambhir,86,54,159.25,11,1,RCB,Arun Jaitley Stadium,30-Apr-08
8,Simon Katich,75,52,144.23,11,1,DC,IS Bindra Stadium,27-Apr-08
9,Shaun Marsh,84,62,135.48,11,1,DEC,Rajiv Gandhi Intl. Cricket Stadium,01-May-08
10,Virender Sehwag,94,41,229.26,10,6,DEC,Rajiv Gandhi Intl. Cricket Stadium,22-Apr-08
11,Brendon McCullum,158,73,216.43,10,13,RCB,M. Chinnaswamy Stadium,18-Apr-08
12,James Hopes,71,33,215.15,10,3,CSK,IS Bindra Stadium,19-Apr-08
13,Rohit Sharma,76,42,180.95,10,2,PBKS,Rajiv Gandhi Intl. Cricket Stadium,01-May-08
14,Swapnil Asnodkar,60,34,176.47,10,1,KKR,Sawai Mansingh Stadium,01-May-08
15,Luke Pomersbach,79,50,158,10,3,MI,Wankhede Stadium,21-May-08
16,Niraj Patel,57,39,146.15,10,0,PBKS,IS Bindra Stadium,28-May-08
17,Salman Butt,73,54,135.18,10,1,CSK,Eden Gardens,18-May-08
18,Virender Sehwag,47,19,247.36,9,1,RCB,M. Chinnaswamy Stadium,19-May-08
19,Sanath Jayasuriya,114,48,237.5,9,11,CSK,Wankhede Stadium,14-May-08
20,Adam Gilchrist,109,47,231.91,9,10,MI,DY Patil Stadium,27-Apr-08
21,MS Dhoni,65,30,216.66,9,3,RCB,M. Chinnaswamy Stadium,28-Apr-08
22,Yusuf Pathan,68,37,183.78,9,2,DEC,Sawai Mansingh Stadium,09-May-08
23,Graeme Smith,91,51,178.43,9,4,CSK,Chidambaram,24-May-08
24,Graeme Smith,71,45,157.77,9,2,DEC,Rajiv Gandhi Intl. Cricket Stadium,24-Apr-08
25,Shaun Marsh,74,51,145.09,9,2,RCB,IS Bindra Stadium,12-May-08
26,Rahul Dravid,66,51,129.41,9,1,PBKS,M. Chinnaswamy Stadium,05-May-08
27,Adam Gilchrist,61,49,124.48,9,1,RR,Sawai Mansingh Stadium,09-May-08
28,Michael Hussey,116,54,214.81,8,9,PBKS,IS Bindra Stadium,19-Apr-08
29,Graeme Smith,75,49,153.06,8,2,RCB,Sawai Mansingh Stadium,17-May-08
30,Shane Watson,61,41,148.78,8,2,RCB,M. Chinnaswamy Stadium,26-Apr-08
31,VVS Laxman,48,34,141.17,8,0,PBKS,Rajiv Gandhi Intl. Cricket Stadium,01-May-08
32,Shikhar Dhawan,68,52,130.76,8,0,DEC,Arun Jaitley Stadium,15-May-08
33,Shikhar Dhawan,52,41,126.82,8,0,RR,Arun Jaitley Stadium,19-Apr-08
34,Dwayne Bravo,64,53,120.75,8,1,KKR,Eden Gardens,29-Apr-08
35,Graeme Smith,49,42,116.66,8,0,RCB,M. Chinnaswamy Stadium,26-Apr-08
36,Parthiv Patel,51,48,106.25,8,0,PBKS,Wankhede Stadium,31-May-08
37,Kumar Sangakkara,50,25,200,7,2,DEC,IS Bindra Stadium,23-May-08
38,Virender Sehwag,71,41,173.17,7,4,CSK,Chidambaram,02-May-08
39,Sanath Jayasuriya,70,42,166.66,7,5,DC,Arun Jaitley Stadium,24-May-08
40,Gautam Gambhir,79,48,164.58,7,3,DEC,Arun Jaitley Stadium,15-May-08
41,Subramaniam Badrinath,53,33,160.6,7,2,MI,Wankhede Stadium,14-May-08
42,Stephen Fleming,44,28,157.14,7,0,DC,Arun Jaitley Stadium,08-May-08
43,Adam Gilchrist,54,36,150,7,2,CSK,Chidambaram,06-May-08
44,Vidyut Sivaramakrishnan,54,37,145.94,7,1,DC,Chidambaram,02-May-08
45,James Hopes,51,35,145.71,7,1,RR,IS Bindra Stadium,28-May-08
