,Player,Ov,Runs,Wkts,SR,Against,Venue,Match Date
0,RP Singh,4,59,1,24,KKR,Rajiv Gandhi Intl. Cricket Stadium,11-May-08
1,Palani Amarnath,4,57,1,24,MI,Chidambaram,23-Apr-08
2,Vikram Singh,4,56,0,0,MI,Wankhede Stadium,21-May-08
3,Munaf Patel,4,55,0,0,DEC,Rajiv Gandhi Intl. Cricket Stadium,24-Apr-08
4,Munaf Patel,4,55,1,24,CSK,Chidambaram,24-May-08
5,Jacob Oram,4,53,0,0,MI,Chidambaram,23-Apr-08
6,James Hopes,4,53,1,24,CSK,IS Bindra Stadium,19-Apr-08
7,Mohammad Asif,4,51,0,0,DEC,Arun Jaitley Stadium,15-May-08
8,Pradeep Sangwan,3,51,0,0,RCB,M. Chinnaswamy Stadium,19-May-08
9,RP Singh,4,50,0,0,DC,Arun Jaitley Stadium,15-May-08
10,Brett Geeves,4,50,1,24,MI,Arun Jaitley Stadium,24-May-08
11,Yo Mahesh,4,50,2,12,RR,Wankhede Stadium,30-May-08
12,Ishant Sharma,4,49,0,0,PBKS,Eden Gardens,25-May-08
13,Siddharth Trivedi,4,48,0,0,PBKS,IS Bindra Stadium,28-May-08
14,Jacques Kallis,4,48,1,24,KKR,M. Chinnaswamy Stadium,18-Apr-08
15,Pankaj Singh,3,48,0,0,PBKS,IS Bindra Stadium,28-May-08
16,Anil Kumble,4,47,0,0,DEC,M. Chinnaswamy Stadium,03-May-08
17,Shane Warne,4,47,0,0,DC,Sawai Mansingh Stadium,11-May-08
18,Rajat Bhatia,4,47,0,0,RCB,M. Chinnaswamy Stadium,19-May-08
19,Joginder Sharma,4,47,1,24,PBKS,IS Bindra Stadium,19-Apr-08
20,Pragyan Ojha,4,47,1,24,RR,Sawai Mansingh Stadium,09-May-08
21,Shane Warne,4,47,2,12,DEC,Rajiv Gandhi Intl. Cricket Stadium,24-Apr-08
22,Irfan Pathan,4,47,2,12,CSK,IS Bindra Stadium,19-Apr-08
23,Zaheer Khan,4,46,0,0,RR,Sawai Mansingh Stadium,17-May-08
24,Ajit Agarkar,4,46,1,24,RR,Sawai Mansingh Stadium,01-May-08
25,Mohammad Asif,4,46,1,24,MI,DY Patil Stadium,04-May-08
26,Andrew Symonds,2.5,46,0,0,RR,Rajiv Gandhi Intl. Cricket Stadium,24-Apr-08
27,Anil Kumble,4,45,0,0,MI,M. Chinnaswamy Stadium,28-May-08
28,Ashish Nehra,4,45,1,24,RCB,Wankhede Stadium,20-Apr-08
29,Lakshmipathy Balaji,3,45,0,0,RR,Chidambaram,24-May-08
30,Joginder Sharma,3,45,0,0,DEC,Chidambaram,06-May-08
31,RP Singh,4,44,1,24,RR,Rajiv Gandhi Intl. Cricket Stadium,24-Apr-08
32,Albie Morkel,3,44,0,0,MI,Wankhede Stadium,14-May-08
33,Shanthakumaran Sreesanth,3,44,1,18,RR,IS Bindra Stadium,28-May-08
34,Makhaya Ntini,4,43,0,0,RR,Chidambaram,24-May-08
35,Vikrant Yeligati,4,43,0,0,PBKS,Wankhede Stadium,21-May-08
36,Gajendra Singh,4,43,1,24,PBKS,IS Bindra Stadium,03-May-08
37,Umar Gul,4,43,1,24,DEC,Rajiv Gandhi Intl. Cricket Stadium,11-May-08
38,Jacques Kallis,3,43,0,0,MI,Wankhede Stadium,20-Apr-08
39,Lakshmipathy Balaji,4,42,0,0,RR,DY Patil Stadium,01-Jun-08
40,Mohammad Asif,4,42,0,0,RCB,Arun Jaitley Stadium,30-Apr-08
41,Chaminda Vaas,4,42,1,24,RR,Rajiv Gandhi Intl. Cricket Stadium,24-Apr-08
42,Manpreet Gony,4,42,1,24,PBKS,IS Bindra Stadium,19-Apr-08
43,Palani Amarnath,4,42,1,24,PBKS,IS Bindra Stadium,19-Apr-08
44,Zaheer Khan,4,42,1,24,DC,Arun Jaitley Stadium,30-Apr-08
45,Glenn McGrath,4,42,2,12,DEC,Arun Jaitley Stadium,15-May-08
46,Praveen Kumar,3,42,1,18,RR,M. Chinnaswamy Stadium,26-Apr-08
47,Muttiah Muralitharan,4,41,0,0,KKR,Eden Gardens,18-May-08
48,Brett Geeves,4,41,0,0,RR,Arun Jaitley Stadium,19-Apr-08
49,Ishant Sharma,4,41,0,0,PBKS,IS Bindra Stadium,03-May-08
50,Vinay Kumar,4,41,0,0,MI,Wankhede Stadium,20-Apr-08
51,Dilhara Fernando,4,41,1,24,KKR,Eden Gardens,29-Apr-08
52,RP Singh,4,41,3,8,RCB,M. Chinnaswamy Stadium,03-May-08
53,Dale Steyn,4,40,0,0,CSK,M. Chinnaswamy Stadium,28-Apr-08
54,Albie Morkel,4,40,0,0,DC,Chidambaram,02-May-08
55,Pradeep Sangwan,4,40,0,0,CSK,Chidambaram,02-May-08
56,Vikram Singh,4,40,1,24,MI,IS Bindra Stadium,25-Apr-08
57,Sohail Tanvir,4,40,1,24,CSK,DY Patil Stadium,01-Jun-08
58,Shaun Pollock,4,40,1,24,PBKS,IS Bindra Stadium,25-Apr-08
59,Ashley Noffke,4,40,1,24,KKR,M. Chinnaswamy Stadium,18-Apr-08
60,Vikram Singh,4,40,1,24,DEC,IS Bindra Stadium,23-May-08
61,Shane Watson,4,40,1,24,PBKS,IS Bindra Stadium,28-May-08
62,Yo Mahesh,4,40,2,12,CSK,Arun Jaitley Stadium,08-May-08
63,Manpreet Gony,4,40,2,12,KKR,Chidambaram,26-Apr-08
64,Siddharth Chitnis,4,40,2,12,PBKS,Wankhede Stadium,21-May-08
65,Muttiah Muralitharan,4,40,2,12,MI,Chidambaram,23-Apr-08
66,Jacques Kallis,4,39,0,0,RR,Sawai Mansingh Stadium,17-May-08
67,Glenn McGrath,4,39,0,0,MI,Arun Jaitley Stadium,24-May-08
68,Sohail Tanvir,4,39,0,0,DEC,Sawai Mansingh Stadium,09-May-08
69,Shane Watson,4,39,0,0,PBKS,Sawai Mansingh Stadium,21-Apr-08
70,Manpreet Gony,4,39,1,24,DC,Chidambaram,02-May-08
71,Sanath Jayasuriya,4,39,1,24,RCB,Wankhede Stadium,20-Apr-08
72,Mohammad Asif,4,39,2,12,PBKS,IS Bindra Stadium,27-Apr-08
73,MF Maharoof,4,39,2,12,DEC,Arun Jaitley Stadium,15-May-08
74,Muttiah Muralitharan,4,39,2,12,RR,DY Patil Stadium,01-Jun-08
75,Jacques Kallis,4,39,2,12,DC,Arun Jaitley Stadium,30-Apr-08
76,Balachandra Akhil,3,39,0,0,DEC,Rajiv Gandhi Intl. Cricket Stadium,25-May-08
77,Glenn McGrath,4,38,0,0,RR,Wankhede Stadium,30-May-08
78,Praveen Kumar,4,38,0,0,KKR,M. Chinnaswamy Stadium,18-Apr-08
79,Albie Morkel,4,38,1,24,RCB,M. Chinnaswamy Stadium,28-Apr-08
80,Zaheer Khan,4,38,1,24,KKR,M. Chinnaswamy Stadium,18-Apr-08
81,Manpreet Gony,4,38,1,24,PBKS,Chidambaram,10-May-08
82,Dilhara Fernando,4,38,2,12,DEC,Rajiv Gandhi Intl. Cricket Stadium,18-May-08
83,Palani Amarnath,4,38,2,12,RCB,M. Chinnaswamy Stadium,28-Apr-08
84,Zaheer Khan,4,38,3,8,CSK,M. Chinnaswamy Stadium,28-Apr-08
85,Shanthakumaran Sreesanth,3.1,38,1,19,RR,Sawai Mansingh Stadium,21-Apr-08
86,Munaf Patel,4,37,0,0,PBKS,IS Bindra Stadium,28-May-08
87,Makhaya Ntini,4,37,0,0,DEC,Chidambaram,06-May-08
88,Irfan Pathan,4,37,0,0,MI,Wankhede Stadium,21-May-08
89,Jacob Oram,4,37,0,0,PBKS,IS Bindra Stadium,19-Apr-08
90,Gajendra Singh,4,37,1,24,DEC,Rajiv Gandhi Intl. Cricket Stadium,01-May-08
91,Rohan Raje,4,37,1,24,RR,Sawai Mansingh Stadium,26-May-08
92,Amit Mishra,4,37,2,12,RR,Wankhede Stadium,30-May-08
93,Dhawal Kulkarni,4,37,2,12,PBKS,IS Bindra Stadium,25-Apr-08
94,Dwayne Bravo,4,37,2,12,CSK,Wankhede Stadium,14-May-08
95,Albie Morkel,4,37,2,12,DEC,Rajiv Gandhi Intl. Cricket Stadium,27-May-08
96,RP Singh,3.3,37,0,0,PBKS,IS Bindra Stadium,23-May-08
97,Zaheer Khan,3,37,0,0,DC,M. Chinnaswamy Stadium,19-May-08
98,Nuwan Zoysa,3,37,0,0,MI,Rajiv Gandhi Intl. Cricket Stadium,18-May-08
99,Siddharth Trivedi,3,37,0,0,DEC,Rajiv Gandhi Intl. Cricket Stadium,24-Apr-08
100,Shane Watson,4,36,0,0,KKR,Eden Gardens,20-May-08
101,Anil Kumble,4,36,0,0,PBKS,IS Bindra Stadium,12-May-08
102,David Hussey,4,36,0,0,PBKS,Eden Gardens,25-May-08
103,Jacques Kallis,4,36,0,0,CSK,M. Chinnaswamy Stadium,28-Apr-08
104,James Hopes,4,36,0,0,CSK,Chidambaram,10-May-08
105,Dilhara Fernando,4,36,1,24,PBKS,Wankhede Stadium,21-May-08
106,Manpreet Gony,4,36,1,24,DC,Arun Jaitley Stadium,08-May-08
107,Lakshmipathy Balaji,4,36,1,24,KKR,Eden Gardens,18-May-08
108,Chaminda Vaas,4,36,1,24,RCB,Rajiv Gandhi Intl. Cricket Stadium,25-May-08
109,Sanjay Bangar,4,36,1,24,CSK,Chidambaram,06-May-08
110,Munaf Patel,4,36,1,24,PBKS,Sawai Mansingh Stadium,21-Apr-08
111,Scott Styris,4,36,1,24,PBKS,IS Bindra Stadium,23-May-08
112,Harbhajan Singh,4,36,2,12,RCB,Wankhede Stadium,20-Apr-08
113,Piyush Chawla,4,36,2,12,KKR,Eden Gardens,25-May-08
114,MF Maharoof,4,36,2,12,DEC,Rajiv Gandhi Intl. Cricket Stadium,22-Apr-08
115,Yo Mahesh,4,36,4,6,MI,Arun Jaitley Stadium,24-May-08
116,RP Singh,3.5,36,0,0,PBKS,Rajiv Gandhi Intl. Cricket Stadium,01-May-08
117,Irfan Pathan,3.4,36,0,0,KKR,Eden Gardens,25-May-08
118,Anil Kumble,3.2,36,0,0,PBKS,M. Chinnaswamy Stadium,05-May-08
119,Dwayne Bravo,3,36,0,0,CSK,Chidambaram,23-Apr-08
120,Praveen Kumar,3,36,1,18,KKR,Eden Gardens,08-May-08
121,Chaminda Vaas,3,36,1,18,KKR,Rajiv Gandhi Intl. Cricket Stadium,11-May-08
122,Piyush Chawla,3,36,1,18,CSK,Chidambaram,10-May-08
123,Sanath Jayasuriya,4,35,0,0,DC,Arun Jaitley Stadium,24-May-08
124,Zaheer Khan,4,35,0,0,PBKS,IS Bindra Stadium,12-May-08
125,Daniel Vettori,4,35,1,24,RR,Arun Jaitley Stadium,19-Apr-08
126,Jacques Kallis,4,35,1,24,DEC,M. Chinnaswamy Stadium,03-May-08
127,Vikram Singh,4,35,1,24,CSK,Chidambaram,10-May-08
128,Brett Lee,4,35,1,24,CSK,IS Bindra Stadium,19-Apr-08
