POS,Player,Ov,Runs,Wkts,Dots,Econ,SR,Against,Venue,Match Date
1,Dale Steyn,4,8,3,18,2,8,RCB,Rajiv Gandhi Intl. Cricket Stadium,20 May 2012
2,Ben Hilfenhaus,4,8,2,15,2,12,RR,Sawai Mansingh Stadium,10 May 2012
3,Praveen Kumar,4,8,0,16,2,0,RCB,M. Chinnaswamy Stadium,02 May 2012
4,Dale Steyn,4,10,2,17,2.5,12,MI,Wankhede Stadium,29 April 2012
5,Marlon Samuels,2,5,1,7,2.5,12,RCB,M. Chinnaswamy Stadium,17 April 2012
6,Umesh Yadav,4,11,2,15,2.75,12,MI,Wankhede Stadium,16 April 2012
7,Lakshmipathy Balaji,4,11,2,15,2.75,12,MI,Wankhede Stadium,16 May 2012
8,Sunil Narine,4,11,1,13,2.75,24,RCB,Eden Gardens,28 April 2012
9,Dale Steyn,4,12,3,14,3,8,MI,ACA-VDCA Stadium,09 April 2012
10,Bhuvneshwar Kumar,3,9,2,8,3,9,MI,Maharashtra Cricket Association's International Stadium,03 May 2012
11,Parvinder Awana,4,12,2,15,3,12,CSK,HPCA Stadium,17 May 2012
12,Irfan Pathan,4,12,1,13,3,24,MI,Wankhede Stadium,16 April 2012
13,Shahbaz Nadeem,3,9,0,10,3,0,CSK,Arun Jaitley Stadium,10 April 2012
14,Ajit Chandila,4,13,4,15,3.25,6,PWI,Sawai Mansingh Stadium,13 May 2012
15,Shaun Tait,4,13,3,14,3.25,8,PWI,Maharashtra Cricket Association's International Stadium,08 May 2012
16,Harbhajan Singh,4,13,2,15,3.25,12,DEC,Wankhede Stadium,29 April 2012
17,Lasith Malinga,4,13,2,17,3.25,12,RR,Wankhede Stadium,11 April 2012
18,Sunil Narine,4,13,1,14,3.25,24,PWI,Eden Gardens,05 May 2012
19,Dwayne Bravo,3,10,2,10,3.33,9,MI,M. Chinnaswamy Stadium,23 May 2012
20,Rajat Bhatia,4,14,2,12,3.5,12,PBKS,Eden Gardens,15 April 2012
21,Jacques Kallis,2,7,2,8,3.5,6,RCB,M. Chinnaswamy Stadium,10 April 2012
