POS,Player,Ov,Runs,Wkts,SR,Against,Venue,Match Date
1,Nitish Rana,1,11,2,3,RCB,Eden Gardens,08 April 2018
2,Karn Sharma,1.3,13,2,4.5,RR,Maharashtra Cricket Association's International Stadium,20 April 2018
3,Ankit Rajpoot,4,14,5,4.8,SRH,Rajiv Gandhi Intl. Cricket Stadium,26 April 2018
4,Harshal Patel,2.3,28,3,5,MI,Arun Jaitley Stadium,20 May 2018
5,Basil Thampi,1.5,4,2,5.5,MI,Wankhede Stadium,24 April 2018
6,Kuldeep Yadav,4,20,4,6,RR,Eden Gardens,15 May 2018
7,Prasidh Krishna,4,30,4,6,SRH,Rajiv Gandhi Intl. Cricket Stadium,19 May 2018
8,Andrew Tye,4,16,4,6,MI,Wankhede Stadium,16 May 2018
9,Lungi Ngidi,4,10,4,6,PBKS,Maharashtra Cricket Association's International Stadium,20 May 2018
10,Mayank Markande,4,23,4,6,SRH,Rajiv Gandhi Intl. Cricket Stadium,12 April 2018
11,Shreyas Gopal,4,16,4,6,RCB,Sawai Mansingh Stadium,19 May 2018
12,Andrew Tye,4,41,4,6,KKR,Holkar Cricket Stadium,12 May 2018
13,Andrew Tye,4,34,4,6,RR,Sawai Mansingh Stadium,08 May 2018
14,Rahul Tewatia,3,18,3,6,KKR,Eden Gardens,16 April 2018
15,Sunil Narine,3,18,3,6,DC,Eden Gardens,16 April 2018
16,Hardik Pandya,3,28,3,6,RCB,M. Chinnaswamy Stadium,01 May 2018
17,Andre Russell,3,31,3,6,RCB,M. Chinnaswamy Stadium,29 April 2018
18,Dwayne Bravo,2,16,2,6,RR,Maharashtra Cricket Association's International Stadium,20 April 2018
19,Andre Russell,2,12,2,6,MI,Wankhede Stadium,06 May 2018
20,Ben Laughlin,2,20,2,6,DC,Sawai Mansingh Stadium,11 April 2018
21,Ben Laughlin,2,15,2,6,RCB,Sawai Mansingh Stadium,19 May 2018
22,Nitish Rana,2,11,2,6,RR,Sawai Mansingh Stadium,18 April 2018
23,Glenn Maxwell,2,22,2,6,KKR,Arun Jaitley Stadium,27 April 2018
24,Tom Curran,2,19,2,6,RR,Sawai Mansingh Stadium,18 April 2018
25,Vinay Kumar,2,30,2,6,RCB,Eden Gardens,08 April 2018
26,Carlos Brathwaite,2,15,2,6,KKR,Eden Gardens,25 May 2018
27,Kuldeep Yadav,3.2,32,3,6.66,DC,Eden Gardens,16 April 2018
28,Basil Thampi,2.2,14,2,7,PBKS,Rajiv Gandhi Intl. Cricket Stadium,26 April 2018
29,Jofra Archer,4,22,3,8,MI,Sawai Mansingh Stadium,22 April 2018
30,Amit Mishra,4,19,3,8,MI,Arun Jaitley Stadium,20 May 2018
31,Tim Southee,4,30,3,8,SRH,Rajiv Gandhi Intl. Cricket Stadium,07 May 2018
32,Ravindra Jadeja,4,18,3,8,RCB,Maharashtra Cricket Association's International Stadium,05 May 2018
33,Liam Plunkett,4,17,3,8,PBKS,Arun Jaitley Stadium,23 April 2018
34,Deepak Chahar,4,15,3,8,SRH,Rajiv Gandhi Intl. Cricket Stadium,22 April 2018
35,Piyush Chawla,4,48,3,8,MI,Eden Gardens,09 May 2018
36,Siddarth Kaul,4,23,3,8,MI,Wankhede Stadium,24 April 2018
37,Umesh Yadav,4,23,3,8,PBKS,Holkar Cricket Stadium,14 May 2018
38,Chris Woakes,4,36,3,8,KKR,Eden Gardens,08 April 2018
39,Mayank Markande,4,23,3,8,CSK,Wankhede Stadium,07 April 2018
40,Jofra Archer,4,26,3,8,SRH,Sawai Mansingh Stadium,29 April 2018
41,Shreyas Gopal,4,20,3,8,CSK,Maharashtra Cricket Association's International Stadium,20 April 2018
42,Mujeeb Ur Rahman,4,27,3,8,RR,Holkar Cricket Stadium,06 May 2018
43,Rashid Khan,4,27,3,8,RCB,M. Chinnaswamy Stadium,17 May 2018
44,Ben Stokes,4,15,3,8,KKR,Eden Gardens,15 May 2018
45,Andre Russell,4,41,3,8,PBKS,Holkar Cricket Stadium,12 May 2018
46,Hardik Pandya,4,24,3,8,CSK,Wankhede Stadium,07 April 2018
47,Umesh Yadav,4,23,3,8,PBKS,M. Chinnaswamy Stadium,13 April 2018
48,Rashid Khan,4,19,3,8,PBKS,Rajiv Gandhi Intl. Cricket Stadium,26 April 2018
49,Jaydev Unadkat,4,46,3,8,DC,Arun Jaitley Stadium,02 May 2018
50,Sandeep Lamichhane,4,36,3,8,MI,Arun Jaitley Stadium,20 May 2018
