,Player,Ov,Runs,Wkts,SR,Against,Venue,Match Date
1,Ravichandran Ashwin,1,2,2,3,PBKS,Dubai International Stadium,20 September 2020
2,Varun Chakaravarthy,4,20,5,4.8,DC,Zayed Cricket Stadium,24 October 2020
3,Pat Cummins,4,34,4,6,RR,Dubai International Stadium,01 November 2020
4,Chris Morris,4,26,4,6,RR,Dubai International Stadium,17 October 2020
5,Jasprit Bumrah,4,20,4,6,RR,Zayed Cricket Stadium,06 October 2020
6,Jasprit Bumrah,4,14,4,6,DC,Dubai International Stadium,05 November 2020
7,Trent Boult,4,18,4,6,CSK,Sharjah Cricket Stadium,23 October 2020
8,Kagiso Rabada,4,29,4,6,SRH,Zayed Cricket Stadium,08 November 2020
9,Kagiso Rabada,4,24,4,6,RCB,Dubai International Stadium,05 October 2020
10,Ravi Bishnoi,3,29,3,6,SRH,Dubai International Stadium,08 October 2020
11,Marcus Stoinis,3,26,3,6,SRH,Zayed Cricket Stadium,08 November 2020
12,Murugan Ashwin,3,21,3,6,RCB,Dubai International Stadium,24 September 2020
13,Sam Curran,3,19,3,6,RCB,Dubai International Stadium,25 October 2020
14,Kamlesh Nagarkoti,2,13,2,6,RR,Dubai International Stadium,30 September 2020
15,Marcus Stoinis,2,17,2,6,RR,Sharjah Cricket Stadium,09 October 2020
16,Trent Boult,2,9,2,6,DC,Dubai International Stadium,05 November 2020
17,Kagiso Rabada,3.4,35,3,7.33,RR,Sharjah Cricket Stadium,09 October 2020
18,Arshdeep Singh,3.5,23,3,7.66,SRH,Dubai International Stadium,24 October 2020
19,Ravichandran Ashwin,4,29,3,8,MI,Dubai International Stadium,05 November 2020
20,Jofra Archer,4,19,3,8,DC,Dubai International Stadium,14 October 2020
21,Rahul Tewatia,4,25,3,8,KKR,Dubai International Stadium,01 November 2020
22,Jasprit Bumrah,4,17,3,8,DC,Dubai International Stadium,31 October 2020
23,Yuzvendra Chahal,4,18,3,8,SRH,Dubai International Stadium,21 September 2020
24,Prasidh Krishna,4,29,3,8,PBKS,Zayed Cricket Stadium,10 October 2020
25,Jasprit Bumrah,4,14,3,8,RCB,Zayed Cricket Stadium,28 October 2020
26,Kagiso Rabada,4,26,3,8,CSK,Dubai International Stadium,25 September 2020
27,Mohammed Siraj,4,8,3,8,KKR,Zayed Cricket Stadium,21 October 2020
28,Jofra Archer,4,24,3,8,DC,Sharjah Cricket Stadium,09 October 2020
29,Lockie Ferguson,4,15,3,8,SRH,Zayed Cricket Stadium,18 October 2020
30,Yuzvendra Chahal,4,24,3,8,RR,Zayed Cricket Stadium,03 October 2020
31,Trent Boult,4,30,3,8,DC,Dubai International Stadium,10 November 2020
32,Lungi Ngidi,4,38,3,8,MI,Zayed Cricket Stadium,19 September 2020
33,Jason Holder,4,25,3,8,RCB,Zayed Cricket Stadium,06 November 2020
34,Dwayne Bravo,4,37,3,8,KKR,Zayed Cricket Stadium,07 October 2020
35,Anrich Nortje,4,33,3,8,RCB,Zayed Cricket Stadium,02 November 2020
36,Ravi Bishnoi,4,32,3,8,RCB,Dubai International Stadium,24 September 2020
37,Pat Cummins,4,17,3,8,DC,Zayed Cricket Stadium,24 October 2020
38,Sam Curran,4,33,3,8,RR,Sharjah Cricket Stadium,22 September 2020
39,Rashid Khan,4,12,3,8,PBKS,Dubai International Stadium,08 October 2020
40,Mohammad Shami,4,53,3,8,RR,Sharjah Cricket Stadium,27 September 2020
41,Jason Holder,4,33,3,8,RR,Dubai International Stadium,22 October 2020
42,Mohammad Shami,4,15,3,8,DC,Dubai International Stadium,20 September 2020
43,Jasprit Bumrah,4,24,3,8,PBKS,Dubai International Stadium,18 October 2020
44,Rahul Tewatia,4,37,3,8,CSK,Sharjah Cricket Stadium,22 September 2020
45,Anrich Nortje,4,33,3,8,KKR,Sharjah Cricket Stadium,03 October 2020
46,Mohammad Shami,4,35,3,8,KKR,Sharjah Cricket Stadium,26 October 2020
47,Chris Jordan,4,17,3,8,SRH,Dubai International Stadium,24 October 2020
48,Trent Boult,4,21,3,8,DC,Dubai International Stadium,31 October 2020
49,Rashid Khan,4,7,3,8,DC,Dubai International Stadium,27 October 2020
50,Rashid Khan,4,14,3,8,DC,Zayed Cricket Stadium,29 September 2020
51,Sandeep Sharma,4,34,3,8,MI,Sharjah Cricket Stadium,03 November 2020
52,Lungi Ngidi,4,39,3,8,PBKS,Zayed Cricket Stadium,01 November 2020
53,Chris Morris,4,19,3,8,CSK,Dubai International Stadium,10 October 2020
54,Anrich Nortje,2.4,25,2,8,MI,Dubai International Stadium,10 November 2020
55,Sheldon Cottrell,3,17,2,9,RCB,Dubai International Stadium,24 September 2020
56,Dwayne Bravo,3,25,2,9,SRH,Dubai International Stadium,13 October 2020
57,Marcus Stoinis,3,29,2,9,PBKS,Dubai International Stadium,20 September 2020
58,Jaydev Unadkat,3,32,2,9,DC,Dubai International Stadium,14 October 2020
59,Shivam Dube,3,15,2,9,SRH,Dubai International Stadium,21 September 2020
60,Khaleel Ahmed,3,24,2,9,PBKS,Dubai International Stadium,08 October 2020
61,Shivam Dube,3,33,2,9,PBKS,Dubai International Stadium,24 September 2020
