POS,Player,Runs,BF,4s,6s,Against,Venue,Match Date
1,Yusuf Pathan,61,21,4,6,DEC,Rajiv Gandhi Intl. Cricket Stadium,24 April 2008
2,Kumar Sangakkara,94,23,13,1,MI,IS Bindra Stadium,25 April 2008
3,Virender Sehwag,51,23,2,5,PBKS,Arun Jaitley Stadium,17 May 2008
4,Kumar Sangakkara,50,23,7,2,DEC,IS Bindra Stadium,23 May 2008
5,Virender Sehwag,71,24,7,4,CSK,Chidambaram,02 May 2008
6,James Hopes,71,24,10,3,CSK,IS Bindra Stadium,19 April 2008
7,MS Dhoni,65,24,9,3,RCB,M. Chinnaswamy Stadium,28 April 2008
8,David Hussey,57,24,4,3,DEC,Rajiv Gandhi Intl. Cricket Stadium,11 May 2008
9,Sanath Jayasuriya,114,25,9,11,CSK,Wankhede Stadium,14 May 2008
10,Rahul Dravid,75,25,6,6,RR,Sawai Mansingh Stadium,17 May 2008
11,Albie Morkel,71,26,6,4,RR,Chidambaram,24 May 2008
12,Kamran Akmal,53,26,4,3,CSK,Chidambaram,24 May 2008
13,Rohit Sharma,50,26,3,4,PBKS,IS Bindra Stadium,23 May 2008
14,Shaun Marsh,115,27,11,7,RR,IS Bindra Stadium,28 May 2008
15,Virender Sehwag,94,27,10,6,DEC,Rajiv Gandhi Intl. Cricket Stadium,22 April 2008
16,Dinesh Karthik,56,27,4,3,MI,Arun Jaitley Stadium,24 May 2008
17,Adam Gilchrist,109,28,9,10,MI,DY Patil Stadium,27 April 2008
18,Venugopal Rao,71,28,4,6,KKR,Rajiv Gandhi Intl. Cricket Stadium,11 May 2008
19,Yusuf Pathan,68,28,9,2,DEC,Sawai Mansingh Stadium,09 May 2008
20,Wriddhiman Saha,59,28,2,4,PBKS,IS Bindra Stadium,03 May 2008
21,Shane Watson,52,28,4,3,DC,Wankhede Stadium,30 May 2008
22,Andrew Symonds,117,29,11,7,RR,Rajiv Gandhi Intl. Cricket Stadium,24 April 2008
23,Graeme Smith,91,29,9,4,CSK,Chidambaram,24 May 2008
24,Swapnil Asnodkar,60,29,10,1,KKR,Sawai Mansingh Stadium,01 May 2008
25,Yuvraj Singh,57,29,6,3,RR,Sawai Mansingh Stadium,21 April 2008
26,Yusuf Pathan,55,29,6,2,KKR,Sawai Mansingh Stadium,01 May 2008
27,Kumar Sangakkara,54,29,5,2,CSK,IS Bindra Stadium,19 April 2008
28,Ross Taylor,53,30,3,3,CSK,M. Chinnaswamy Stadium,28 April 2008
29,James Hopes,51,30,7,1,RR,IS Bindra Stadium,28 May 2008
30,Michael Hussey,116,31,8,9,PBKS,IS Bindra Stadium,19 April 2008
31,Sanath Jayasuriya,70,31,7,5,DC,Arun Jaitley Stadium,24 May 2008
32,Rohit Sharma,66,31,6,4,DC,Rajiv Gandhi Intl. Cricket Stadium,22 April 2008
33,Vidyut Sivaramakrishnan,54,31,7,1,DC,Chidambaram,02 May 2008
34,Brendon McCullum,158,32,10,13,RCB,M. Chinnaswamy Stadium,18 April 2008
35,Simon Katich,75,32,11,1,DC,IS Bindra Stadium,27 April 2008
36,Shane Watson,74,32,5,5,DC,Sawai Mansingh Stadium,11 May 2008
37,Venugopal Rao,57,32,4,3,MI,Rajiv Gandhi Intl. Cricket Stadium,18 May 2008
38,Suresh Raina,55,32,4,4,PBKS,Wankhede Stadium,31 May 2008
39,Subramaniam Badrinath,53,32,7,2,MI,Wankhede Stadium,14 May 2008
40,Wasim Jaffer,50,32,5,2,CSK,M. Chinnaswamy Stadium,28 April 2008
41,Shikhar Dhawan,50,32,4,3,RCB,Arun Jaitley Stadium,30 April 2008
42,Matthew Hayden,81,33,12,2,MI,Chidambaram,23 April 2008
43,Shaun Marsh,58,33,3,4,CSK,Chidambaram,10 May 2008
44,Suresh Raina,53,33,3,3,MI,Chidambaram,23 April 2008
45,Gautam Gambhir,79,34,7,3,DEC,Arun Jaitley Stadium,15 May 2008
46,Rohit Sharma,76,34,10,2,PBKS,Rajiv Gandhi Intl. Cricket Stadium,01 May 2008
47,Graeme Smith,75,34,8,2,RCB,Sawai Mansingh Stadium,17 May 2008
48,Graeme Smith,71,34,9,2,DEC,Rajiv Gandhi Intl. Cricket Stadium,24 April 2008
49,Shane Watson,61,34,8,2,RCB,M. Chinnaswamy Stadium,26 April 2008
50,Parthiv Patel,54,34,5,2,RR,Chidambaram,24 May 2008
51,Sanath Jayasuriya,54,34,4,4,RCB,M. Chinnaswamy Stadium,28 May 2008
52,Adam Gilchrist,54,34,7,2,CSK,Chidambaram,06 May 2008
53,Shaun Marsh,84,35,11,1,DEC,Rajiv Gandhi Intl. Cricket Stadium,01 May 2008
54,Shaun Marsh,81,35,7,4,MI,Wankhede Stadium,21 May 2008
55,Gautam Gambhir,80,35,11,1,CSK,Arun Jaitley Stadium,08 May 2008
56,Shane Watson,76,35,5,5,PBKS,Sawai Mansingh Stadium,21 April 2008
57,Shaun Marsh,74,35,9,2,RCB,IS Bindra Stadium,12 May 2008
58,Niraj Patel,57,35,10,0,PBKS,IS Bindra Stadium,28 May 2008
59,Gautam Gambhir,50,35,5,1,CSK,Chidambaram,02 May 2008
60,Gautam Gambhir,86,36,11,1,RCB,Arun Jaitley Stadium,30 April 2008
61,Yusuf Pathan,56,36,3,4,CSK,DY Patil Stadium,01 June 2008
62,Shikhar Dhawan,68,37,8,0,DEC,Arun Jaitley Stadium,15 May 2008
63,Subramaniam Badrinath,64,37,6,3,PBKS,Chidambaram,10 May 2008
64,Kumar Sangakkara,64,37,7,2,KKR,Eden Gardens,25 May 2008
65,Adam Gilchrist,61,37,9,1,RR,Sawai Mansingh Stadium,09 May 2008
66,MS Dhoni,60,37,2,4,PBKS,Chidambaram,10 May 2008
67,Gautam Gambhir,58,37,7,1,RR,Arun Jaitley Stadium,19 April 2008
68,Sourav Ganguly,51,37,4,2,RR,Sawai Mansingh Stadium,01 May 2008
69,Luke Pomersbach,79,38,10,3,MI,Wankhede Stadium,21 May 2008
70,David Hussey,71,38,4,4,PBKS,IS Bindra Stadium,03 May 2008
71,Sachin Tendulkar,65,38,12,0,PBKS,Wankhede Stadium,21 May 2008
72,Matthew Hayden,70,39,6,3,KKR,Chidambaram,26 April 2008
73,Rohit Sharma,57,39,5,3,RCB,M. Chinnaswamy Stadium,03 May 2008
74,Shreevats Goswami,52,39,7,1,DC,M. Chinnaswamy Stadium,19 May 2008
75,VVS Laxman,52,39,7,0,RCB,M. Chinnaswamy Stadium,03 May 2008
76,Sourav Ganguly,91,40,11,5,DEC,Rajiv Gandhi Intl. Cricket Stadium,11 May 2008
77,Shaun Marsh,60,40,3,3,DEC,IS Bindra Stadium,23 May 2008
78,Shikhar Dhawan,59,40,6,2,CSK,Arun Jaitley Stadium,08 May 2008
79,Jacques Kallis,54,40,6,1,DC,Arun Jaitley Stadium,30 April 2008
80,Mark Boucher,50,40,5,1,KKR,Eden Gardens,08 May 2008
81,Adam Gilchrist,50,40,6,1,PBKS,IS Bindra Stadium,23 May 2008
82,Sourav Ganguly,86,41,6,6,PBKS,Eden Gardens,25 May 2008
83,Shikhar Dhawan,52,41,8,0,RR,Arun Jaitley Stadium,19 April 2008
84,Dwayne Bravo,64,42,8,1,KKR,Eden Gardens,29 April 2008
85,Swapnil Asnodkar,50,42,7,1,RCB,Sawai Mansingh Stadium,17 May 2008
86,Suresh Raina,54,43,5,2,DEC,Rajiv Gandhi Intl. Cricket Stadium,27 May 2008
87,Salman Butt,73,44,10,1,CSK,Eden Gardens,18 May 2008
88,Rahul Dravid,66,44,9,1,PBKS,M. Chinnaswamy Stadium,05 May 2008
89,Parthiv Patel,51,47,8,0,PBKS,Wankhede Stadium,31 May 2008
