POS,Player,Ov,Runs,Wkts,Maid,Dots,SR,Against,Venue,Match Date
1,Rashid Khan,4,7,3,0,17,8,DC,Dubai International Stadium,27 October 2020
2,Jasprit Bumrah,4,14,4,1,17,6,DC,Dubai International Stadium,05 November 2020
3,Trent Boult,4,18,4,1,17,6,CSK,Sharjah Cricket Stadium,23 October 2020
4,Deepak Chahar,4,18,2,1,17,12,RR,Zayed Cricket Stadium,19 October 2020
5,Mohammed Siraj,4,8,3,2,16,8,KKR,Zayed Cricket Stadium,21 October 2020
6,T Natarajan,4,11,1,0,16,24,RCB,Sharjah Cricket Stadium,31 October 2020
7,Rashid Khan,4,12,0,0,16,0,CSK,Dubai International Stadium,02 October 2020
8,Pat Cummins,4,17,3,0,16,8,DC,Zayed Cricket Stadium,24 October 2020
9,Navdeep Saini,4,18,0,0,16,0,CSK,Dubai International Stadium,10 October 2020
10,Trent Boult,4,21,3,0,16,8,DC,Dubai International Stadium,31 October 2020
11,Jofra Archer,4,21,2,0,16,12,SRH,Dubai International Stadium,22 October 2020
12,Jasprit Bumrah,4,14,3,1,15,8,RCB,Zayed Cricket Stadium,28 October 2020
13,Rashid Khan,4,14,2,0,15,12,PBKS,Dubai International Stadium,24 October 2020
14,Mohammad Shami,4,15,3,0,15,8,DC,Dubai International Stadium,20 September 2020
15,Chris Morris,4,16,0,1,15,0,KKR,Zayed Cricket Stadium,21 October 2020
16,Jasprit Bumrah,4,17,3,0,15,8,DC,Dubai International Stadium,31 October 2020
17,Jofra Archer,4,18,1,0,15,24,RCB,Zayed Cricket Stadium,03 October 2020
18,Jofra Archer,4,19,1,0,15,24,KKR,Dubai International Stadium,01 November 2020
19,Arshdeep Singh,4,25,1,1,15,24,KKR,Zayed Cricket Stadium,10 October 2020
20,Adam Zampa,4,12,1,0,14,24,SRH,Zayed Cricket Stadium,06 November 2020
21,Ravi Bishnoi,4,13,1,0,14,24,SRH,Dubai International Stadium,24 October 2020
22,Washington Sundar,4,14,1,1,14,24,KKR,Zayed Cricket Stadium,21 October 2020
23,Shivam Mavi,4,15,2,1,14,12,RR,Dubai International Stadium,01 November 2020
24,Lockie Ferguson,4,17,1,0,14,24,RCB,Zayed Cricket Stadium,21 October 2020
25,Jofra Archer,4,18,2,0,14,12,KKR,Dubai International Stadium,30 September 2020
26,Chris Morris,4,19,3,0,14,8,CSK,Dubai International Stadium,10 October 2020
27,Jofra Archer,4,19,3,0,14,8,DC,Dubai International Stadium,14 October 2020
28,Josh Hazlewood,4,19,1,0,14,24,RR,Zayed Cricket Stadium,19 October 2020
29,Jasprit Bumrah,4,20,4,0,14,6,RR,Zayed Cricket Stadium,06 October 2020
30,Sheldon Cottrell,4,20,1,1,14,24,MI,Zayed Cricket Stadium,01 October 2020
31,Navdeep Saini,4,21,0,0,14,0,PBKS,Sharjah Cricket Stadium,15 October 2020
32,Nathan Coulter-Nile,4,25,1,0,14,24,CSK,Sharjah Cricket Stadium,23 October 2020
33,Jofra Archer,4,25,1,0,14,24,SRH,Dubai International Stadium,11 October 2020
34,Mohammed Siraj,4,28,2,0,14,12,SRH,Zayed Cricket Stadium,06 November 2020
35,Jasprit Bumrah,4,32,2,0,14,12,KKR,Zayed Cricket Stadium,23 September 2020
36,Sandeep Sharma,4,34,3,0,14,8,MI,Sharjah Cricket Stadium,03 November 2020
37,Rashid Khan,4,12,3,1,13,8,PBKS,Dubai International Stadium,08 October 2020
38,Washington Sundar,4,12,1,0,13,24,MI,Dubai International Stadium,28 September 2020
