POS,Player,Ov,Runs,Wkts,SR,Against,Venue,Match Date
1,Kagiso Rabada,4,59,0,0,SRH,Arun Jaitley Stadium,02 May 2017
2,Pat Cummins,4,59,0,0,MI,Arun Jaitley Stadium,06 May 2017
3,Lasith Malinga,4,58,0,0,PBKS,Holkar Cricket Stadium,20 April 2017
4,Ishant Sharma,4,58,0,0,MI,Holkar Cricket Stadium,20 April 2017
5,Ravindra Jadeja,4,57,0,0,RCB,Saurashtra Cricket Association Stadium,18 April 2017
6,Ashok Dinda,4,57,0,0,MI,Maharashtra Cricket Association's International Stadium,06 April 2017
7,Mohit Sharma,4,57,2,12,MI,Wankhede Stadium,11 May 2017
8,Aniket Choudhary,4,55,1,24,SRH,Rajiv Gandhi Intl. Cricket Stadium,05 April 2017
9,Mitchell McClenaghan,4,54,1,24,PBKS,Wankhede Stadium,11 May 2017
10,Umesh Yadav,4,53,1,24,DC,Arun Jaitley Stadium,17 April 2017
11,Sreenath Aravind,4,53,1,24,GL,Saurashtra Cricket Association Stadium,18 April 2017
12,Imran Tahir,4,53,1,24,GL,Saurashtra Cricket Association Stadium,14 April 2017
13,Mitchell McClenaghan,4,51,1,24,KKR,Wankhede Stadium,09 April 2017
14,Lasith Malinga,4,51,1,24,GL,Wankhede Stadium,16 April 2017
15,Praveen Kumar,4,51,1,24,RPS,Saurashtra Cricket Association Stadium,14 April 2017
16,Mitchell McClenaghan,4,50,0,0,GL,Saurashtra Cricket Association Stadium,29 April 2017
17,Shardul Thakur,4,50,0,0,SRH,Maharashtra Cricket Association's International Stadium,22 April 2017
18,Chris Woakes,4,49,2,12,SRH,Eden Gardens,15 April 2017
19,Imran Tahir,4,48,0,0,KKR,Maharashtra Cricket Association's International Stadium,26 April 2017
20,Basil Thampi,4,48,1,24,PBKS,IS Bindra Stadium,07 May 2017
21,Mohit Sharma,4,47,0,0,RCB,Holkar Cricket Stadium,10 April 2017
22,Trent Boult,3.5,47,0,0,MI,Wankhede Stadium,09 April 2017
23,Ashish Nehra,4,46,1,24,MI,Wankhede Stadium,12 April 2017
24,Chris Woakes,4,46,1,24,SRH,Rajiv Gandhi Intl. Cricket Stadium,30 April 2017
25,Mitchell McClenaghan,4,46,1,24,RPS,Wankhede Stadium,16 May 2017
26,Mitchell McClenaghan,4,46,2,12,PBKS,Holkar Cricket Stadium,20 April 2017
27,Lasith Malinga,4,45,0,0,PBKS,Wankhede Stadium,11 May 2017
28,Jasprit Bumrah,4,45,0,0,GL,Wankhede Stadium,16 April 2017
29,Adam Zampa,4,45,1,24,DC,Maharashtra Cricket Association's International Stadium,11 April 2017
30,Varun Aaron,4,45,2,12,DC,Arun Jaitley Stadium,15 April 2017
31,Harbhajan Singh,3,45,0,0,PBKS,Wankhede Stadium,11 May 2017
32,Siddarth Kaul,3,45,0,0,RPS,Maharashtra Cricket Association's International Stadium,22 April 2017
33,Lockie Ferguson,4,44,0,0,GL,Saurashtra Cricket Association Stadium,14 April 2017
34,Basil Thampi,4,44,0,0,PBKS,Saurashtra Cricket Association Stadium,23 April 2017
35,Basil Thampi,4,44,1,24,KKR,Eden Gardens,21 April 2017
36,Shane Watson,4,44,1,24,RPS,M. Chinnaswamy Stadium,16 April 2017
37,Kuldeep Yadav,4,43,0,0,SRH,Rajiv Gandhi Intl. Cricket Stadium,30 April 2017
38,Varun Aaron,4,43,0,0,GL,IS Bindra Stadium,07 May 2017
39,James Faulkner,4,43,0,0,PBKS,IS Bindra Stadium,07 May 2017
40,Adam Milne,4,43,1,24,GL,Saurashtra Cricket Association Stadium,18 April 2017
41,Pradeep Sangwan,4,43,1,24,DC,Arun Jaitley Stadium,04 May 2017
42,Shane Watson,4,43,1,24,PBKS,M. Chinnaswamy Stadium,05 May 2017
