POS,Player,Runs,BF,SR,4s,6s,Against,Venue,Match Date
1,Chris Gayle,24,6,400,3,2,SRH,Rajiv Gandhi Intl. Cricket Stadium,15 May 2015
2,Rohit Sharma,23,5,460,1,3,RCB,M. Chinnaswamy Stadium,19 April 2015
3,Kieron Pollard,23,5,460,1,3,CSK,Wankhede Stadium,17 April 2015
4,Kieron Pollard,22,5,440,1,3,CSK,Eden Gardens,24 May 2015
5,David Miller,22,6,366.66,1,3,SRH,Rajiv Gandhi Intl. Cricket Stadium,11 May 2015
6,Dwayne Smith,22,6,366.66,2,2,PBKS,Chidambaram,25 April 2015
7,AB de Villiers,22,5,440,2,2,MI,M. Chinnaswamy Stadium,19 April 2015
8,Chris Gayle,21,5,420,2,2,PBKS,M. Chinnaswamy Stadium,06 May 2015
9,David Miller,21,5,420,2,2,KKR,Eden Gardens,09 May 2015
10,Chris Morris,21,5,420,0,3,SRH,Brabourne Stadium,07 May 2015
11,Chris Gayle,20,6,333.33,2,2,PBKS,M. Chinnaswamy Stadium,06 May 2015
12,Kieron Pollard,20,6,333.33,2,2,RR,Narendra Modi Stadium,14 April 2015
13,Moises Henriques,20,6,333.33,3,1,RCB,Rajiv Gandhi Intl. Cricket Stadium,15 May 2015
14,Mohit Sharma,20,5,400,1,2,MI,Eden Gardens,24 May 2015
15,Karn Sharma,20,5,400,0,3,KKR,Eden Gardens,04 May 2015
16,Dwayne Smith,20,5,400,2,2,MI,Wankhede Stadium,17 April 2015
17,Brendon McCullum,19,5,380,1,2,SRH,Chidambaram,11 April 2015
18,AB de Villiers,19,5,380,0,3,PBKS,M. Chinnaswamy Stadium,06 May 2015
19,Harbhajan Singh,19,6,316.66,0,3,PBKS,Wankhede Stadium,12 April 2015
20,James Faulkner,19,5,380,1,2,PBKS,Maharashtra Cricket Association's International Stadium,10 April 2015
21,MS Dhoni,19,5,380,0,3,SRH,Chidambaram,11 April 2015
22,Angelo Mathews,19,5,380,1,2,KKR,Arun Jaitley Stadium,20 April 2015
23,Andre Russell,19,6,316.66,2,1,PBKS,Maharashtra Cricket Association's International Stadium,18 April 2015
24,Wriddhiman Saha,19,6,316.66,3,1,RCB,IS Bindra Stadium,13 May 2015
25,David Warner,19,5,380,3,1,CSK,Rajiv Gandhi Intl. Cricket Stadium,02 May 2015
26,Shreyas Iyer,18,6,300,1,2,PBKS,Arun Jaitley Stadium,01 May 2015
27,AB de Villiers,18,5,360,1,2,RR,Maharashtra Cricket Association's International Stadium,20 May 2015
28,David Warner,18,6,300,4,0,DC,ACA-VDCA Stadium,18 April 2015
29,Hardik Pandya,18,5,360,0,3,CSK,Chidambaram,08 May 2015
30,Moises Henriques,18,5,360,1,2,KKR,Eden Gardens,04 May 2015
31,Suresh Raina,18,4,450,0,3,RCB,M. Chinnaswamy Stadium,22 April 2015
32,Umesh Yadav,18,5,360,3,1,RR,Brabourne Stadium,16 May 2015
33,Murali Vijay,18,6,300,3,1,KKR,Eden Gardens,09 May 2015
34,Andre Russell,18,5,360,1,2,PBKS,Eden Gardens,09 May 2015
35,Rohit Sharma,18,4,450,3,1,KKR,Eden Gardens,08 April 2015
36,David Warner,18,5,360,3,1,RCB,M. Chinnaswamy Stadium,13 April 2015
37,Eoin Morgan,18,6,300,1,2,RR,Brabourne Stadium,07 May 2015
38,Shikhar Dhawan,18,6,300,3,1,MI,Wankhede Stadium,25 April 2015
39,Shane Watson,18,4,450,3,1,PBKS,Narendra Modi Stadium,21 April 2015
40,JP Duminy,18,5,360,1,2,MI,Arun Jaitley Stadium,23 April 2015
41,Mayank Agarwal,18,6,300,4,0,RR,Arun Jaitley Stadium,12 April 2015
42,Quinton de Kock,17,5,340,1,2,RCB,M. Chinnaswamy Stadium,17 May 2015
43,Deepak Hooda,17,5,340,2,1,DC,Arun Jaitley Stadium,12 April 2015
44,Angelo Mathews,17,6,283.33,2,1,RR,Arun Jaitley Stadium,12 April 2015
45,Parthiv Patel,17,5,340,2,1,PBKS,IS Bindra Stadium,03 May 2015
46,Albie Morkel,17,5,340,2,1,CSK,Chidambaram,09 April 2015
47,Shaun Marsh,17,6,283.33,0,2,RR,Narendra Modi Stadium,21 April 2015
48,Eoin Morgan,17,5,340,1,2,PBKS,Rajiv Gandhi Intl. Cricket Stadium,11 May 2015
49,Unmukt Chand,17,5,340,4,0,RCB,M. Chinnaswamy Stadium,19 April 2015
50,Eoin Morgan,17,5,340,2,1,RR,Brabourne Stadium,07 May 2015
51,Sarfaraz Khan,17,5,340,2,1,RR,M. Chinnaswamy Stadium,29 April 2015
52,Hardik Pandya,17,5,340,4,0,KKR,Wankhede Stadium,14 May 2015
53,Kedar Jadhav,17,4,425,1,2,SRH,Shaheed Veer Narayan Singh International Cricket Stadium,09 May 2015
54,Dwayne Smith,17,6,283.33,1,2,RCB,M. Chinnaswamy Stadium,22 April 2015
55,Johan Botha,17,5,340,4,0,DC,Eden Gardens,07 May 2015
