POS,Player,Runs,BF,SR,4s,6s,Against,Venue,Match Date
1,Murali Vijay,127,56,226.78,8,11,RR,Chidambaram,03 April 2010
2,Yusuf Pathan,100,37,270.27,9,8,MI,Brabourne Stadium,13 March 2010
3,Yusuf Pathan,73,34,214.7,2,8,DEC,Narendra Modi Stadium,26 March 2010
4,Chris Gayle,88,42,209.52,6,8,PBKS,Eden Gardens,04 April 2010
5,Matthew Hayden,93,43,216.27,9,7,DC,Arun Jaitley Stadium,19 March 2010
6,Paul Collingwood,75,46,163.04,3,7,RCB,Arun Jaitley Stadium,04 April 2010
7,Murali Vijay,78,39,200,4,6,RCB,Chidambaram,31 March 2010
8,Robin Uthappa,68,38,178.94,3,6,CSK,M. Chinnaswamy Stadium,23 March 2010
9,Naman Ojha,94,55,170.9,8,6,CSK,Chidambaram,03 April 2010
10,Kieron Pollard,45,13,346.15,2,5,DC,Brabourne Stadium,13 April 2010
11,Shane Watson,60,25,240,5,5,CSK,Chidambaram,03 April 2010
12,Virender Sehwag,75,34,220.58,8,5,RR,Narendra Modi Stadium,15 March 2010
13,Irfan Pathan,60,29,206.89,3,5,DEC,Barabati Stadium,19 March 2010
14,Albie Morkel,62,34,182.35,3,5,RR,Chidambaram,03 April 2010
15,Andrew Symonds,54,30,180,3,5,DC,Arun Jaitley Stadium,18 April 2010
16,Naman Ojha,80,49,163.26,6,5,CSK,Narendra Modi Stadium,28 March 2010
17,Sourav Ganguly,88,54,162.96,9,5,DEC,Eden Gardens,01 April 2010
18,Jacques Kallis,89,55,161.81,8,5,PBKS,M. Chinnaswamy Stadium,16 March 2010
19,David Warner,107,69,155.07,9,5,KKR,Arun Jaitley Stadium,29 March 2010
20,Shaun Marsh,88,57,154.38,8,5,CSK,HPCA Stadium,18 April 2010
21,Robin Uthappa,51,21,242.85,4,4,PBKS,M. Chinnaswamy Stadium,16 March 2010
22,Robin Uthappa,50,22,227.27,4,4,KKR,M. Chinnaswamy Stadium,10 April 2010
23,Dinesh Karthik,69,38,181.57,6,4,RR,Arun Jaitley Stadium,31 March 2010
24,David Warner,57,33,172.72,4,4,DEC,Barabati Stadium,21 March 2010
25,Ambati Rayudu,46,27,170.37,3,4,RCB,M. Chinnaswamy Stadium,17 April 2010
26,Saurabh Tiwary,52,31,167.74,3,4,RCB,DY Patil Stadium,21 April 2010
27,Virat Kohli,58,35,165.71,4,4,DEC,M. Chinnaswamy Stadium,08 April 2010
28,Manvinder Bisla,75,51,147.05,7,4,RCB,M. Chinnaswamy Stadium,16 March 2010
29,Angelo Mathews,65,46,141.3,5,4,DEC,DY Patil Stadium,12 March 2010
30,Kieron Pollard,20,7,285.71,0,3,RCB,M. Chinnaswamy Stadium,17 April 2010
31,Kieron Pollard,33,13,253.84,1,3,RCB,DY Patil Stadium,21 April 2010
32,Albie Morkel,28,12,233.33,1,3,RR,Narendra Modi Stadium,28 March 2010
33,Adam Gilchrist,38,17,223.52,4,3,CSK,Chidambaram,14 March 2010
34,JP Duminy,42,19,221.05,3,3,RCB,M. Chinnaswamy Stadium,17 April 2010
35,Andrew Symonds,53,24,220.83,5,3,RCB,M. Chinnaswamy Stadium,08 April 2010
36,Ross Taylor,22,10,220,0,3,DC,Arun Jaitley Stadium,04 April 2010
37,Yuvraj Singh,33,16,206.25,2,3,KKR,Eden Gardens,04 April 2010
38,Adam Gilchrist,34,17,200,3,3,RR,Vidarbha Cricket Association Stadium,05 April 2010
39,Suresh Raina,78,39,200,11,3,KKR,Chidambaram,13 April 2010
40,MS Dhoni,66,33,200,6,3,KKR,Eden Gardens,16 March 2010
41,Virender Sehwag,74,38,194.73,10,3,CSK,Arun Jaitley Stadium,19 March 2010
42,Mahela Jayawardena,110,59,186.44,14,3,KKR,Eden Gardens,04 April 2010
43,Rohit Sharma,68,38,178.94,6,3,PBKS,HPCA Stadium,16 April 2010
44,Yuvraj Singh,28,16,175,1,3,RR,Sawai Mansingh Stadium,07 April 2010
45,Suresh Raina,46,27,170.37,5,3,PBKS,HPCA Stadium,18 April 2010
