POS,Player,Mat,Inns,Ov,Runs,Wkts,BBI,Avg,Econ,SR,4w,5w
1,RP Singh,16,16,59.4,417,23,4/22,18.13,6.98,15.56,1,0
2,Anil Kumble,16,16,59.1,347,21,5/5,16.52,5.86,16.9,1,1
3,Lasith Malinga,13,13,49.3,312,18,3/11,17.33,6.3,16.5,0,0
4,Pragyan Ojha,15,15,53.3,348,18,3/21,19.33,6.5,17.83,0,0
5,Irfan Pathan,14,14,50.2,390,17,3/35,22.94,7.74,17.76,0,0
6,Munaf Patel,11,11,34.5,241,16,2/14,15.06,6.91,13.06,0,0
7,Muttiah Muralitharan,13,13,50,261,14,3/11,18.64,5.22,21.42,0,0
8,Amit Mishra,11,11,42.1,294,14,3/14,21,6.97,18.07,0,0
9,Shane Warne,13,13,50,365,14,3/24,26.07,7.3,21.42,0,0
10,Yusuf Abdulla,9,9,28,241,14,4/31,17.21,8.6,12,2,0
11,Shadab Jakati,9,8,29,217,13,4/22,16.69,7.48,13.38,2,0
12,Praveen Kumar,13,13,49.4,394,13,3/30,30.3,7.93,22.92,0,0
13,Albie Morkel,12,12,40,324,13,2/13,24.92,8.1,18.46,0,0
14,Lakshmipathy Balaji,13,13,37.2,316,13,4/21,24.3,8.46,17.23,1,0
15,Harbhajan Singh,13,13,44,256,12,4/17,21.33,5.81,22,1,0
16,Piyush Chawla,14,14,44.5,308,12,2/22,25.66,6.86,22.41,0,0
17,Ishant Sharma,11,11,43,297,11,2/15,27,6.9,23.45,0,0
18,Ishant Sharma,11,11,43,297,11,2/15,27,6.9,23.45,0,0
19,Rohit Sharma,16,12,23,161,11,4/6,14.63,7,12.54,1,0
20,Dwayne Bravo,11,11,33.1,259,11,3/34,23.54,7.8,18.09,0,0
21,Amit Singh,5,5,17.3,95,9,4/19,10.55,5.42,11.66,1,0
22,Roelof van der Merwe,10,10,34,248,9,2/22,27.55,7.29,22.66,0,0
23,Vinay Kumar,11,11,32.2,271,9,2/30,30.11,8.38,21.55,0,0
24,Suresh Raina,14,10,27.4,164,7,2/17,23.42,5.92,23.71,0,0
25,Andrew Symonds,8,8,24,160,7,2/18,22.85,6.66,20.57,0,0
26,Yusuf Pathan,13,11,35,243,7,3/34,34.71,6.94,30,0,0
27,Brad Hodge,12,9,20,161,7,3/29,23,8.05,17.14,0,0
28,Sanath Jayasuriya,12,9,19,163,7,2/3,23.28,8.57,16.28,0,0
29,Ravindra Jadeja,13,10,23.2,151,6,3/15,25.16,6.47,23.33,0,0
30,Zaheer Khan,6,6,21,142,6,3/31,23.66,6.76,21,0,0
31,Dimitri Mascarenhas,5,5,19.2,132,6,3/20,22,6.82,19.33,0,0
32,Kamran Khan,5,5,17.4,124,6,3/18,20.66,7.01,17.66,0,0
33,Yuvraj Singh,14,9,20,142,6,3/13,23.66,7.1,20,0,0
34,Ryan Harris,8,8,31,230,6,3/27,38.33,7.41,31,0,0
35,Siddharth Trivedi,7,7,20,152,6,2/19,25.33,7.6,20,0,0
36,Jacques Kallis,15,14,46,353,6,2/18,58.83,7.67,46,0,0
37,Shanthakumaran Sreesanth,7,7,23,192,6,2/20,32,8.34,23,0,0
38,Ajit Agarkar,11,11,31,284,6,2/15,47.33,9.16,31,0,0
39,Brett Lee,5,5,20,111,5,3/15,22.2,5.55,24,0,0
40,Ramesh Powar,9,8,21,132,5,2/11,26.4,6.28,25.2,0,0
41,Sudeep Tyagi,8,8,19,136,5,2/18,27.2,7.15,22.8,0,0
42,Tirumalasetti Suman,12,5,15,108,5,2/14,21.6,7.2,18,0,0
43,Dhawal Kulkarni,8,8,26,206,5,1/21,41.2,7.92,31.2,0,0
44,Scott Styris,2,2,8,64,5,3/32,12.8,8,9.6,0,0
45,Jacob Oram,11,7,15.3,133,5,2/12,26.6,8.58,18.6,0,0
46,Shoaib Ahmed,7,7,17,152,5,2/20,30.4,8.94,20.4,0,0
47,Manpreet Gony,7,7,17,172,5,2/32,34.4,10.11,20.4,0,0
48,JP Duminy,13,6,17.3,93,4,2/15,23.25,5.31,26.25,0,0
49,Murali Kartik,10,10,34,201,4,2/28,50.25,5.91,51,0,0
50,Kevin Pietersen,6,4,13,85,4,2/31,21.25,6.53,19.5,0,0
51,Abhishek Nayar,13,4,12,84,4,3/13,21,7,18,0,0
52,Balachandra Akhil,6,5,11,80,4,2/18,20,7.27,16.5,0,0
53,Dillon du Preez,2,2,7,56,4,3/32,14,8,10.5,0,0
54,Ashok Dinda,9,8,24,193,4,1/24,48.25,8.04,36,0,0
55,Venugopal Rao,16,6,15,122,4,2/23,30.5,8.13,22.5,0,0
56,Chaminda Vaas,2,2,8,71,4,2/19,17.75,8.87,12,0,0
57,Charl Langeveldt,1,1,4,15,3,3/15,5,3.75,8,0,0
58,Johan Botha,3,3,12,74,3,2/19,24.66,6.16,24,0,0
59,Jesse Ryder,5,5,17,115,3,2/14,38.33,6.76,34,0,0
60,Wilkin Mota,8,5,9,61,3,1/6,20.33,6.77,18,0,0
61,Laxmi Ratan Shukla,9,5,14,100,3,3/25,33.33,7.14,28,0,0
62,Shane Harwood,3,3,10,73,3,2/25,24.33,7.3,20,0,0
63,Ajantha Mendis,4,4,16,117,3,2/19,39,7.31,32,0,0
64,Thilan Thushara,2,2,8,60,3,2/28,20,7.5,16,0,0
65,Harmeet Singh Bansal,7,7,22.5,192,3,2/23,64,8.4,45.66,0,0
66,Ravichandran Ashwin,2,1,4,13,2,2/13,6.5,3.25,12,0,0
67,Dale Steyn,3,3,9,62,2,1/21,31,6.88,27,0,0
